Symbol,Name,,,CASH_RATIO,CASH_RATIO,True Cash Ratio,RETURN_COM_EQY,PX_TO_BOOK_RATIO,PE_RATIO,SHORT_INT_RATIO,TOT_DEBT_TO_COM_EQY,IS_EPS,Last price,,
ANW,Aegean Marine Petroleum Network Inc.,ANW US Equity,ANW UA Equity,0.1537,0.1537,0.1537,-5.021025878,0.04842298,15.0213,8.199,#N/A N/A,#N/A N/A,0.74,27/06/2017 17:00,4.25
AEB,Aegon NV,AEB US Equity,AEB UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
AED,Aegon NV,AED US Equity,AED UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
AEG,Aegon NV,AEG US Equity,AEG UA Equity,#VALUE!,#VALUE!,null,11.38012154,null,null,5.218,#N/A N/A,#N/A N/A,5.96,27/06/2017 17:00,6.2
AEH,Aegon NV,AEH US Equity,AEH UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
AER,Aercap Holdings N.V.,AER US Equity,AER UA Equity,#VALUE!,#VALUE!,null,12.62692129,0.923256046,7.6409,8.271,336.2219,1.8,54.28,27/06/2017 17:00,52.54
HIVE,"Aerohive Networks, Inc.",HIVE US Equity,HIVE UA Equity,1.0564,1.0564,1.0564,-98.06857037,11.64212349,null,2.778,99.1277,-0.13,4.26,27/06/2017 17:00,5.59
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",AJRD US Equity,AJRD UA Equity,0.6681,0.6681,0.6681,-0.619914762,12.58787261,15.5126,15.672,362.8842,0.19,29.99,27/06/2017 17:00,30.64
AET,Aetna Inc.,AET US Equity,AET UA Equity,0.5279,0.5279,0.5279,22.79265469,3.788040493,15.7018,3.337,55.8544,3.69,188.46,27/06/2017 17:00,181.33
AMG,"Affiliated Managers Group, Inc.",AMG US Equity,AMG UA Equity,#VALUE!,#VALUE!,null,19.8322753,2.427503429,18.3473,3.177,76.2333,2.8,151.445,27/06/2017 17:00,196.75
AFL,Aflac Incorporated,AFL US Equity,AFL UA Equity,#VALUE!,#VALUE!,null,20.1537186,1.401901192,11.2939,4.434,22.1188,0.92,43.91,27/06/2017 17:00,88.76
MITT,"AG Mortgage Investment Trust, Inc.",MITT US Equity,MITT UA Equity,#VALUE!,#VALUE!,null,17.01518619,1.015214706,7.5362,3.02,527.2123,0.17,19.09,27/06/2017 17:00,19.2
MITT^A,"AG Mortgage Investment Trust, Inc.",MITT^A US Equity,MITT^A UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
MITT^B,"AG Mortgage Investment Trust, Inc.",MITT^B US Equity,MITT^B UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
AGCO,AGCO Corporation,AGCO US Equity,AGCO UA Equity,0.1282,0.1282,0.1282,7.53056735,1.561649547,28.3103,4.958,69.3996,0.31,60.81,27/06/2017 17:00,71.7
A,"Agilent Technologies, Inc.",A US Equity,A UA Equity,2.1212,2.1212,2.1212,5.275459098,4.285189639,30.7031,1.316,45.8487,0.64,62.465,27/06/2017 17:00,67.06
AEM,Agnico Eagle Mines Limited,AEM US Equity,AEM UA Equity,2.2059,2.2059,2.2059,4.380632463,null,null,3.99,27.8374,#N/A N/A,44.82,27/06/2017 17:00,41.98
ADC,Agree Realty Corporation,ADC US Equity,ADC UA Equity,#VALUE!,#VALUE!,null,7.52035043,1.829658889,29.0511,16.712,61.0679,0.53,53.97,27/06/2017 17:00,50.19
AL,Air Lease Corporation,AL US Equity,AL UA Equity,0.2148,0.2148,0.2148,20.34558289,1.028082551,10.8464,7.846,233.9338,1.07,42.43,27/06/2017 17:00,44.45
APD,"Air Products and Chemicals, Inc.",APD US Equity,APD UA Equity,1.7087,1.7087,1.7087,7.131812971,1.501627134,23.7389,2.316,15.7136,1.9,157.4,27/06/2017 17:00,162.89
AYR,Aircastle Limited,AYR US Equity,AYR UA Equity,1.8284,1.8284,1.8284,8.534987655,0.847635336,10.0735,0.961,217.5749,0.73,21,27/06/2017 17:00,23.51
AKS,AK Steel Holding Corporation,AKS US Equity,AKS UA Equity,0.0444,0.0444,0.0444,null,null,7.0238,5.257,#N/A N/A,0.09,4.475,27/06/2017 17:00,5.33
ALP^Q,Alabama Power Company,ALP^Q US Equity,ALP^Q UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
ALG,"Alamo Group, Inc.",ALG US Equity,ALG UA Equity,0.7514,0.7514,0.7514,10.75217604,2.257165829,22.4209,1.271,31.5782,1.26,93.08,27/06/2017 17:00,111.08
AGI,Alamos Gold Inc.,AGI US Equity,AGI UA Equity,2.0139,2.0139,2.0139,1.156587427,null,null,2.524,0,#N/A N/A,5.605,27/06/2017 17:00,6.15
ALK,"Alaska Air Group, Inc.",ALK US Equity,ALK UA Equity,0.5107,0.5107,0.5107,28.91678289,2.229556176,12.3571,3.142,71.2126,0.03,60.59,27/06/2017 17:00,69.8
AIN,Albany International Corporation,AIN US Equity,AIN UA Equity,0.8652,0.8652,0.8652,5.82387076,3.290438927,40.1293,4.173,87.9575,0.32,61.225,27/06/2017 17:00,61.1
ALB,Albemarle Corporation,ALB US Equity,ALB UA Equity,0.7967,0.7967,0.7967,3.640693258,2.693337081,27.406,7.18,38.8407,1.19,95.69,27/06/2017 17:00,130.36
AA,Alcoa Corporation,AA US Equity,AA UA Equity,0.4019,0.4019,0.4019,2.525791533,1.52249673,11.6696,1.364,27.1982,0.81,46.52,27/06/2017 17:00,42.4
ALEX,"Alexander & Baldwin, Inc.",ALEX US Equity,ALEX UA Equity,#VALUE!,#VALUE!,null,24.79926712,null,45.6619,2.309,#N/A N/A,0.71,22.52,27/06/2017 17:00,28.65
ALX,"Alexander&#39;s, Inc.",ALX US Equity,ALX UA Equity,#VALUE!,#VALUE!,null,14.87652592,6.327158637,25.3527,3.405,398.5351,-1.9,385,27/06/2017 17:00,398.14
ARE,"Alexandria Real Estate Equities, Inc.",ARE US Equity,ARE UA Equity,#VALUE!,#VALUE!,null,4.695753027,2.107824954,171.5347,9.509,86.9886,1.33,125.64,27/06/2017 17:00,131.4
ARE^D,"Alexandria Real Estate Equities, Inc.",ARE^D US Equity,ARE^D UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
AQN,Algonquin Power & Utilities Corp.,AQN US Equity,AQN UA Equity,0.1659,0.1659,0.1659,5.282940146,null,null,5.276,152.9895,#N/A N/A,9.7,27/06/2017 17:00,10.98
BABA,Alibaba Group Holding Limited,BABA US Equity,BABA UA Equity,1.6082,1.6082,1.6082,19.85197504,8.688832913,51.5052,8.124,34.3208,2.95,189.73,27/06/2017 17:00,174.64
Y,Alleghany Corporation,Y US Equity,Y UA Equity,1.4262,1.4262,1.4262,1.35918961,1.074711376,19.7506,1.452,18.4019,11.15,585.64,27/06/2017 17:00,582.96
ATI,Allegheny Technologies Incorporated,ATI US Equity,ATI UA Equity,1.3804,1.3804,1.3804,-3.172545752,1.703564354,167.8524,15.316,86.615,0.46,25.51,27/06/2017 17:00,23.26
ALLE,Allegion plc,ALLE US Equity,ALLE UA Equity,1.6427,1.6427,1.6427,91.2413566,15.91875076,24.9861,6.593,331.0088,0.76,77.64,27/06/2017 17:00,82.15
AGN,Allergan plc.,AGN US Equity,AGN UA Equity,1.5478,1.5478,1.5478,-2.951347563,0.800350047,1057.9848,1.988,36.7252,-0.99,169.6,27/06/2017 17:00,171.87
ALE,"Allete, Inc.",ALE US Equity,ALE UA Equity,0.2465,0.2465,0.2465,8.500048795,1.879263383,23.0298,2.412,71.6493,1,77.62,27/06/2017 17:00,77.37
AKP,Alliance California Municipal Income Fund Inc,AKP US Equity,AKP UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.261,#N/A N/A,#N/A N/A,13.19,27/06/2017 17:00,13.56
ADS,Alliance Data Systems Corporation,ADS US Equity,ADS UA Equity,0.3231,0.3231,0.3231,47.9122708,6.501852352,21.597,4.693,304.247,2.96,232.48,27/06/2017 17:00,238.34
AFB,Alliance National Municipal Income Fund Inc,AFB US Equity,AFB UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.226,#N/A N/A,#N/A N/A,12.67,27/06/2017 17:00,13.63
AOI,"Alliance One International, Inc.",AOI US Equity,AOI UA Equity,0.6638,0.6638,0.6638,22.06048163,0.615859971,null,1.087,495.6795,-0.5,17.3,27/06/2017 17:00,12.9
AWF,Alliance World Dollar Government Fund II,AWF US Equity,AWF UA Equity,0.3437,0.3437,0.3437,null,null,null,0.109,#N/A N/A,#N/A N/A,11.5368,27/06/2017 17:00,12.71
AB,AllianceBernstein Holding L.P.,AB US Equity,AB UA Equity,0.2605,0.2605,0.2605,14.39715209,1.795579633,10.8486,1.45,0,0.6,28.5,27/06/2017 17:00,24.95
LNT,Alliant Energy Corporation,LNT US Equity,LNT UA Equity,0.2812,0.2812,0.2812,11.75631121,2.29977461,17.4866,3.991,126.2886,0.52,42.15,27/06/2017 17:00,44.01
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,CBH US Equity,CBH UA Equity,0.4148,0.4148,0.4148,null,null,null,0.235,#N/A N/A,#N/A N/A,9.2892,27/06/2017 17:00,9.14
NCV,AllianzGI Convertible & Income Fund,NCV US Equity,NCV UA Equity,#VALUE!,#VALUE!,null,null,null,null,7.746,#N/A N/A,#N/A N/A,6.98,27/06/2017 17:00,7.04
NCZ,AllianzGI Convertible & Income Fund II,NCZ US Equity,NCZ UA Equity,#VALUE!,#VALUE!,null,null,null,null,3.46,#N/A N/A,#N/A N/A,6,27/06/2017 17:00,6.17
ACV,AllianzGI Diversified Income & Convertible Fund,ACV US Equity,ACV UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.093,#N/A N/A,#N/A N/A,23.475,27/06/2017 17:00,21.82
NIE,AllianzGI Equity & Convertible Income Fund,NIE US Equity,NIE UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.21,#N/A N/A,#N/A N/A,22.31,27/06/2017 17:00,21.29
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",NFJ US Equity,NFJ UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.155,#N/A N/A,#N/A N/A,12.72,27/06/2017 17:00,13.58
ALSN,"Allison Transmission Holdings, Inc.",ALSN US Equity,ALSN UA Equity,0.4472,0.4472,0.4472,79.27927928,7.87268256,20.4114,4.651,360.3399,1.09,40.705,27/06/2017 17:00,41.4
ALL,Allstate Corporation (The),ALL US Equity,ALL UA Equity,#VALUE!,#VALUE!,null,16.66086957,1.537231217,12.309,3.75,32.7655,2.67,91.52,27/06/2017 17:00,103.54
ALL^A,Allstate Corporation (The),ALL^A US Equity,ALL^A UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
ALL^B,Allstate Corporation (The),ALL^B US Equity,ALL^B UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
ALL^C,Allstate Corporation (The),ALL^C US Equity,ALL^C UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
ALL^D,Allstate Corporation (The),ALL^D US Equity,ALL^D UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
ALL^E,Allstate Corporation (The),ALL^E US Equity,ALL^E UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
ALL^F,Allstate Corporation (The),ALL^F US Equity,ALL^F UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
